Sezione elettorale,Movimento 5 Stelle,Il Popolo della Famiglia,Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare Lorenzin,Partito Democratico,Italia Europa Insieme,+ Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d'Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Votanti,Totale Voti Non Validi
340,97,2,0,5,2,96,5,22,0,14,60,6,1,0,14,42,3,398,18
341,74,2,1,1,0,97,3,21,2,23,54,8,2,1,8,35,2,354,8
342,99,3,3,5,1,103,7,7,1,29,65,12,1,3,11,28,4,393,6
343,111,5,2,3,4,119,1,16,1,31,37,6,2,0,20,32,0,426,16
344,116,1,0,4,2,122,2,17,0,38,58,11,1,1,17,41,2,466,12
345,119,5,1,11,4,120,5,21,2,36,58,16,1,0,9,39,2,465,11
346,150,4,1,7,2,172,0,39,2,58,96,29,2,1,10,42,2,653,8
347,90,2,2,4,1,137,3,24,2,32,70,10,2,0,7,49,0,462,10
348,130,0,1,5,2,141,2,29,2,26,69,15,1,2,12,40,3,510,9
349,95,2,2,4,2,82,1,13,0,30,44,6,1,0,12,33,1,358,13
350,100,2,2,5,5,122,5,19,2,17,55,4,1,0,18,48,3,432,7
351,132,3,3,3,1,166,8,17,1,28,45,14,0,0,13,40,2,505,12
352,116,0,0,6,1,128,5,23,0,36,63,12,1,0,17,40,4,484,17
353,95,4,1,5,3,155,0,17,4,24,56,11,2,0,18,45,5,471,15
354,120,7,0,3,11,155,6,16,1,45,72,11,0,0,7,33,1,514,6
355,82,3,1,1,3,149,10,10,2,41,54,21,1,0,11,32,3,469,23
356,91,2,0,3,3,106,6,13,1,30,63,8,1,0,5,27,0,378,10
357,119,0,0,1,5,142,2,21,1,40,74,13,1,3,9,49,3,510,10
358,95,1,2,4,0,104,4,13,2,32,47,10,4,0,8,12,2,378,29
359,89,2,1,4,1,103,2,5,1,32,65,8,2,1,6,16,2,361,13
360,103,0,1,5,0,80,0,9,4,28,62,4,4,1,1,19,1,334,8
361,95,3,0,2,3,194,2,13,1,28,48,10,2,1,1,47,2,475,13
362,121,0,0,3,1,136,2,10,0,21,59,7,1,1,12,39,3,452,18
363,86,1,1,6,1,91,0,6,4,38,69,9,1,0,1,19,1,351,14
364,101,0,0,4,0,147,0,2,0,34,49,7,0,2,9,21,4,401,9
365,147,3,3,6,0,148,5,6,0,22,51,10,0,1,5,32,0,458,8
366,136,0,1,4,5,136,3,39,2,64,117,20,1,1,7,31,1,599,14
367,67,3,0,3,6,170,7,20,1,47,66,15,1,0,4,31,1,476,14
368,166,3,2,6,2,179,12,31,1,41,67,16,0,1,7,45,2,610,14
369,88,4,0,0,12,206,9,34,5,39,52,11,2,1,9,66,1,571,21
370,78,2,1,2,6,227,10,20,3,43,73,22,0,2,7,26,2,551,8
371,83,0,2,6,9,171,12,40,2,41,64,13,0,3,10,38,2,520,8
372,93,0,0,3,4,102,8,30,8,65,80,20,1,1,8,45,4,511,8
373,103,1,0,2,6,107,5,30,0,38,58,25,2,1,11,37,2,462,21
374,161,6,2,5,4,135,6,18,0,40,84,18,0,1,12,37,2,585,13
375,125,3,2,6,7,107,2,25,1,52,67,17,1,0,17,34,1,495,6
376,113,2,0,3,6,102,3,20,2,25,65,19,2,0,8,30,3,430,10
377,121,2,1,5,3,147,5,14,2,36,65,11,0,0,15,34,0,503,13
378,93,5,3,3,5,125,7,18,0,36,59,22,2,0,16,30,1,457,9
379,107,1,2,3,2,172,5,17,4,30,60,15,0,1,2,44,3,494,8
380,103,4,1,6,8,114,4,19,2,36,50,7,1,2,6,25,1,421,10
381,90,4,2,2,0,99,3,6,3,34,74,10,1,1,4,12,2,367,7
382,118,2,0,9,3,138,1,11,1,30,64,25,2,0,8,30,7,481,8
383,105,2,1,1,0,127,3,22,2,29,43,8,2,0,7,37,1,413,8
384,110,1,0,2,8,252,7,31,4,44,65,15,1,0,15,61,2,661,14
385,78,1,1,1,1,176,8,22,5,39,50,17,0,1,5,36,1,471,8
386,120,6,0,3,1,160,3,19,2,39,63,19,1,1,11,43,2,524,12
387,87,2,0,2,3,180,17,21,2,34,45,27,0,2,8,30,3,482,11
388,104,0,1,2,3,137,7,19,2,33,49,12,4,1,19,31,2,458,11
389,80,2,0,4,5,141,5,17,0,40,68,17,2,1,5,40,1,447,7
390,124,2,2,3,1,135,3,22,6,32,48,19,1,1,6,37,1,482,16
391,106,2,4,3,7,153,4,21,0,45,49,15,0,0,11,34,1,483,11
392,86,3,1,5,1,123,4,25,1,38,47,13,2,0,7,31,1,415,10
393,117,1,1,7,1,118,2,15,0,34,67,9,2,1,6,34,0,441,9
394,77,2,0,2,5,186,7,19,4,47,71,26,0,2,9,45,1,537,13
395,117,0,1,6,2,156,5,24,2,35,58,8,1,0,11,37,2,483,6
396,102,5,1,3,5,155,9,22,1,38,74,11,1,1,8,37,0,503,14
397,113,4,2,2,2,129,1,17,3,26,59,14,2,1,6,31,0,454,22
398,100,1,1,4,5,141,5,20,2,34,76,26,2,0,7,39,2,514,34
399,86,3,2,3,1,180,3,17,1,34,61,13,0,2,8,42,2,501,21
400,147,1,2,3,3,125,5,16,0,27,62,12,5,3,12,29,2,488,12
401,151,1,1,5,4,170,7,17,2,44,59,14,4,0,6,36,4,548,8
402,109,1,2,6,2,150,4,12,0,28,60,5,1,0,7,41,3,456,11
403,124,2,1,5,3,122,3,13,0,32,62,10,3,0,9,33,1,455,8
404,117,1,1,1,12,177,8,27,0,50,73,18,1,0,8,36,1,572,17
405,104,6,0,5,4,134,4,25,0,56,72,18,5,1,6,31,2,507,13
406,97,2,0,3,3,175,4,9,1,26,57,14,1,2,6,37,4,469,8
407,106,3,0,2,1,175,6,24,0,29,34,12,1,0,7,62,0,494,11
408,111,2,1,4,3,143,9,28,2,55,54,15,3,1,4,27,1,487,8
409,140,4,0,6,4,219,10,20,0,37,61,18,0,2,5,59,3,615,11
410,96,3,0,2,4,171,6,33,3,49,56,18,0,0,7,40,1,521,16
411,40,2,2,4,2,75,4,7,0,39,18,9,3,2,3,6,0,239,12
412,100,2,2,2,7,150,10,57,6,59,81,27,3,2,3,31,0,568,5
413,145,3,1,8,4,126,5,17,1,41,51,20,3,2,11,28,1,493,4
414,126,0,1,3,6,121,6,35,0,42,56,20,1,1,10,31,2,480,4
415,121,1,0,1,8,158,6,32,4,56,92,17,3,1,9,34,2,577,12
416,91,3,0,2,5,140,14,29,2,59,49,14,2,1,6,39,3,491,9
417,99,6,0,2,4,167,7,24,1,57,72,33,1,1,9,42,1,562,9
418,119,5,2,4,5,152,10,24,2,51,58,16,0,1,7,57,2,553,11
419,100,1,1,1,2,101,7,33,0,38,66,17,0,1,9,36,3,450,14
420,116,3,1,4,7,142,10,32,1,29,73,16,3,3,6,35,3,525,14
